Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1, 185, 60, 5, 5, 50, 50, 5,
Conv2, 37, 12, 3, 3, 50, 50, 1,
FC1, 1, 4500, 1, 4500, 1, 500, 1,
FC2, 1, 500, 1, 500, 1, 2, 1,
